Date,Time,Location,Weather,Fish Caught,Amount,Bait,Temperature,Wind Speed
2026-02-24,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-02-25,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-02-26,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-02-27,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-02-28,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-03-01,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-03-02,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-03-03,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-03-04,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-03-05,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-03-06,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-03-07,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-03-08,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-03-09,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-03-10,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-03-11,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-03-12,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-03-13,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-03-14,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-03-15,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-03-16,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-03-17,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-03-18,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-03-19,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-03-20,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-03-21,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-03-22,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-03-23,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-03-24,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-03-25,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-03-26,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-03-27,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-03-28,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-03-29,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-03-30,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-03-31,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-04-01,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-04-02,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-04-03,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-04-04,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-04-05,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-04-06,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-04-07,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-04-08,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-04-09,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-04-10,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-04-11,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-04-12,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-04-13,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-04-14,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-04-15,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-04-16,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-04-17,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-04-18,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-04-19,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-04-20,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-04-21,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-04-22,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-04-23,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-04-24,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-04-25,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-04-26,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-04-27,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-04-28,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-04-29,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-04-30,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-05-01,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-05-02,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-05-03,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-05-04,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-05-05,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-05-06,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-05-07,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-05-08,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-05-09,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-05-10,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-05-11,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-05-12,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-05-13,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-05-14,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-05-15,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-05-16,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-05-17,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-05-18,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-05-19,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-05-20,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-05-21,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-05-22,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-05-23,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-05-24,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-05-25,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-05-26,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-05-27,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-05-28,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-05-29,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-05-30,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-05-31,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-06-01,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-06-02,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-06-03,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-06-04,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-06-05,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-06-06,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-06-07,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-06-08,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-06-09,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-06-10,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-06-11,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-06-12,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-06-13,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-06-14,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-06-15,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-06-16,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-06-17,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-06-18,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-06-19,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-06-20,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-06-21,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-06-22,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-06-23,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-06-24,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-06-25,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
2026-06-26,07:30,Riverbend,Sunny,Carp,9,Corn,27,6
2026-06-27,08:15,Lakeview,Cloudy,Perch,5,Cheese,20,8
2026-06-28,09:00,Riverbend,Rainy,Salmon,6,Crickets,24,15
2026-06-29,10:30,Lakeview,Windy,Pike,7,Minnows,23,12
2026-06-30,11:15,Riverbend,Foggy,Carp,4,Corn,22,10
2026-07-01,12:45,Lakeview,Stormy,Perch,3,Cheese,19,28
2026-07-02,13:30,Riverbend,Sunny,Salmon,10,Crickets,26,7
2026-07-03,14:15,Lakeview,Cloudy,Pike,5,Minnows,21,9
2026-07-04,15:00,Riverbend,Rainy,Carp,8,Corn,23,20
2026-07-05,06:30,Lakeview,Windy,Perch,4,Cheese,24,18
2026-07-06,07:00,Riverbend,Sunny,Salmon,10,Crickets,18,12
2026-07-07,08:30,Lakeview,Windy,Pike,3,Minnows,20,15
2026-07-08,09:15,Riverbend,Foggy,Carp,5,Corn,22,8
2026-07-09,10:45,Lakeview,Stormy,Perch,2,Cheese,19,25
2026-07-10,11:30,Riverbend,Sunny,Salmon,7,Crickets,26,10
2026-07-11,12:00,Lakeview,Cloudy,Pike,4,Minnows,21,7
2026-07-12,13:45,Riverbend,Rainy,Carp,6,Corn,23,18
2026-07-13,14:30,Lakeview,Windy,Perch,3,Cheese,24,20
2026-07-14,15:15,Riverbend,Foggy,Salmon,8,Crickets,25,9
2026-07-15,06:45,Lakeview,Stormy,Pike,2,Minnows,22,30
